Quantity,Scale,Ingredient,Ingredient_cpl,Number,Unit,ID
200,g,chocolat pâtissier,,6,personnes,166352
100,g,beurre,+ une noix pour le moule,6,personnes,166352
3,,oeufs,,6,personnes,166352
50,g,farine,,6,personnes,166352
100,g,sucre en poudre,,6,personnes,166352
200,g,chocolat pâtissier,,8,personnes,15025
100,g,beurre doux,,8,personnes,15025
100,g,sucre semoule,,8,personnes,15025
5,,oeufs,,8,personnes,15025
4,cuillères à soupe,farine,,8,personnes,15025
5,,oeufs,,20,crêpes,27121
500,g,farine,,20,crêpes,27121
1,l,lait demi-écrémé,,20,crêpes,27121
3,,cuillères à soupe d'huile,,20,crêpes,27121
1/2,verre,bière,,20,crêpes,27121
1/2,paquet,levure chimique,,4,personnes,12719
1,pot,yaourt nature,,4,personnes,12719
1/2,pot d'huile,colza,,4,personnes,12719
2,pots,sucre semoule,,4,personnes,12719
3,pots,farine,,4,personnes,12719
2,,oeufs,,4,personnes,12719
1,zeste,citron,jaune,4,personnes,12719
3,,oeufs,,4,personnes,12023
100,g,sucre roux,,4,personnes,12023
1,sachet,sucre vanillé,,4,personnes,12023
250,g,mascarpone,,4,personnes,12023
24,,biscuits à la cuillère,,4,personnes,12023
50,cl,café,noir non sucré,4,personnes,12023
30,g,cacao amer,,4,personnes,12023
250,g,farine,,4,personnes,15299
30,g,sucre semoule,,4,personnes,15299
2,,oeufs,,4,personnes,15299
1,sachet,levure,traditionnelle,4,personnes,15299
65,g,beurre doux,,4,personnes,15299
1,pincée,sel,,4,personnes,15299
30,cl,lait,,4,personnes,15299
85,g,beurre tendre,,4,personnes,86989
1,,oeuf,,4,personnes,86989
85,g,sucre,,4,personnes,86989
,,Vanille,ou 1 sachet de sucre vanillé,4,personnes,86989
150,g,farine,,4,personnes,86989
100,g,chocolat noir,,4,personnes,86989
1,cuillère à café,sel,,4,personnes,86989
1,cuillère à café,levure chimique,,4,personnes,86989
3,,oeufs,,4,personnes,13585
100,g,chocolat noir,,4,personnes,13585
1,sachet,sucre vanillé,,4,personnes,13585
200,g,farine,,15,pièces,87278
30,g,sucre,,15,pièces,87278
3,,oeufs,,15,pièces,87278
20,g,beurre,,15,pièces,87278
25,cl,lait,,15,pièces,87278
1,pincée,sel,,15,pièces,87278
6,,pommes,(des Canada par exemple),6,personnes,10534
150,g,cassonade,,6,personnes,10534
150,g,farine de blé,,6,personnes,10534
125,g,beurre doux,(le sortir 1/2 heure avant de commencer la recette),6,personnes,10534
1,petite cuillère,cannelle,en poudre,6,personnes,10534
1,sachet,sucre vanillé,,6,personnes,10534
,,Citron,,6,personnes,10534
1,,pâte brisée,,6,personnes,18588
6,,pommes,Golden,6,personnes,18588
1,sachet,sucre vanillé,,6,personnes,18588
30,g,beurre,,6,personnes,18588
125,g,farine,,6,personnes,12825
125,g,beurre doux,,6,personnes,12825
250,g,sucre semoule,,6,personnes,12825
200,g,chocolat noir,,6,personnes,12825
4,,oeufs,,6,personnes,12825
1/2,sachet,levure,,6,personnes,12825
60,g,spéculoos,,4,personnes,349689
60,g,beurre,,4,personnes,349689
4,,kiwis,,4,personnes,349689
150,g,chocolat,,4,personnes,349689
15,cl,crème liquide,,4,personnes,349689
2,,pâtes feuilletées,,6,personnes,20147
140,g,poudre d'amandes,,6,personnes,20147
100,g,sucre fin,,6,personnes,20147
2,,oeufs,,6,personnes,20147
75,g,beurre,mou,6,personnes,20147
1,,jaune d'oeuf,,6,personnes,20147
1,,fève,,6,personnes,20147
25,cl,lait,,4,personnes,10975
3,,oeufs,,4,personnes,10975
75,g,sucre de canne,,4,personnes,10975
6,tranches épaisses,pain,paysan,4,personnes,10975
4,,blancs d'oeuf,,20,pièces,36610
250,g,sucre semoule,,20,pièces,36610
300,g,farine,,10,personnes,16870
300,g,sucre,,10,personnes,16870
4,,oeufs,(blancs en neige),10,personnes,16870
1,paquet,sucre vanillé,,10,personnes,16870
1,paquet,levure chimique,,10,personnes,16870
1,verre,lait,,10,personnes,16870
1,,verre d'huile,,10,personnes,16870
50,cl,crème fraîche liquide,"(attention, PAS de crème allégée !!! c'est la matière grasse qui fait que la chantilly prend)",2,litre,30531
35,g,sucre glace,,2,litre,30531
120,g,sucre semoule,,1,gâteau,13493
1,paquet,sucre vanillé,,1,gâteau,13493
3,,oeufs,,1,gâteau,13493
1/2,paquet,levure chimique,,1,gâteau,13493
125,g,farine,,1,gâteau,13493
1/2,verre d'huile,colza,,1,gâteau,13493
3,,pommes,,1,gâteau,13493
250,g,biscuit,(petits bruns) émiettés,8,personnes,20518
125,g,beurre doux,fondu,8,personnes,20518
1/2,cuillère à café,muscade,râpée (si on aime),8,personnes,20518
500,g,fromage blanc,(type faisselle),8,personnes,20518
150,g,sucre semoule,,8,personnes,20518
2,cuillères à soupe,farine,,8,personnes,20518
3,,oeufs,,8,personnes,20518
25,cl,crème fraîche,,8,personnes,20518
,cuillère à café d'extrait,vanille,ou d'orange ou zeste de citron ...),8,personnes,20518
1,,pâte brisée,,8,personnes,15330
4,,oeufs,,8,personnes,15330
1,l,lait,,8,personnes,15330
150,g,sucre en poudre,,8,personnes,15330
90,g,maïzena,,8,personnes,15330
1,gousse,vanille,,8,personnes,15330
125,g,farine,,6,personnes,232278
125,g,beurre,,6,personnes,232278
125,g,sucre,,6,personnes,232278
2,,oeufs,,6,personnes,232278
80,g,beurre,fondu,6,personnes,232278
80,g,sucre glace,,6,personnes,232278
600,g,cerises,fraîches ou surgelées,8,personnes,29896
40,g,beurre,semi-sel + 20 g pour le moule,8,personnes,29896
4,,oeufs,,8,personnes,29896
20,cl,lait,,8,personnes,29896
100,g,farine,,8,personnes,29896
60,g,sucre en poudre,,8,personnes,29896
1,sachet,sucre vanillé,,8,personnes,29896
1,pincée,sel,,8,personnes,29896
,,Sucre glace,,8,personnes,29896
1,l,lait,,4,personnes,20380
100,g,riz blanc,rond,4,personnes,20380
5,cuillères à soupe,sucre,,4,personnes,20380
1,sachet,sucre vanillé,,4,personnes,20380
1,zeste,citron,,4,personnes,20380
,,Orange,ou de clémentine,4,personnes,20380
700,g,cerises,bien mûres,8,personnes,17365
2,,oeufs,+ 2 jaunes d'oeufs,8,personnes,17365
5,cuillères,farine,(100 g),8,personnes,17365
5,cuillères,sucre roux,(100 g),8,personnes,17365
1/4,l,lait,(25 cl),8,personnes,17365
60,g,beurre,,8,personnes,17365
1,pincée,sel,,8,personnes,17365
1,cuillère à café d'extrait,vanille,,8,personnes,17365
1,sachet,sucre vanillé,(facultatif),8,personnes,17365
8,,pommes,golden bien jaunes,6,personnes,12456
1,,pâte feuilletée,(toute prête ou faite maison),6,personnes,12456
2,sachets,sucre vanillé,,6,personnes,12456
,,Cannelle,,6,personnes,12456
100,g,beurre,,6,personnes,12456
100,g,sucre en poudre,,6,personnes,12456
4,,oeufs,,6,personnes,49844
125,g,sucre,,6,personnes,49844
125,g,farine,,6,personnes,49844
1/2,sachet,levure chimique,,6,personnes,49844
40,g,chocolat noir,,1,mug,329684
40,g,beurre,,1,mug,329684
30,g,sucre,,1,mug,329684
20,g,farine,,1,mug,329684
1,,oeuf,,1,mug,329684
200,g,chocolat,,8,personnes,11807
125,g,beurre,,8,personnes,11807
200,g,sucre en poudre,,8,personnes,11807
2,cuillères à soupe,farine,,8,personnes,11807
1,cuillère à soupe,sucre glace,,8,personnes,11807
1,grosse poignée,cerneau de noix,,8,personnes,11807
4,,oeufs,frais,8,personnes,11807
280,g,farine,,12,personnes,166385
2,,oeufs,,12,personnes,166385
100,g,sucre,,12,personnes,166385
150,ml,lait,,12,personnes,166385
80,g,beurre,(ou 8 cuillères à soupe d'huile),12,personnes,166385
1,sachet,levure chimique,,12,personnes,166385
1,sachet,sucre vanillé,,12,personnes,166385
1,pincée,sel,,12,personnes,166385
,,Cannelle,,12,personnes,166385
,Extrait,vanille,,12,personnes,166385
,,Eau,"de vie, etc..)",12,personnes,166385
1,,blanc d'oeuf,,4,personnes ,72497
74,g,sucre glace,,4,personnes ,72497
42,g d'aman,s,en poudre,4,personnes ,72497
10,g,sucre en poudre,,4,personnes ,72497
1/2,cuillère à café,colorant alimentaire,en pâte,4,personnes ,72497
350,g,farine,,6,personnes,16881
175,g,beurre,,6,personnes,16881
1,cuillère à café,sel,,6,personnes,16881
1,cube,levure de boulanger fraîche,,6,personnes,16881
2,,cuillères à soupe d'eau,fraîche,6,personnes,16881
4,,oeufs,entiers,6,personnes,16881
50,g,sucre en poudre,,6,personnes,16881
250,g,farine,,6,personnes,22726
125,g,beurre,,6,personnes,22726
70,g,sucre,,6,personnes,22726
2,,jaunes d'oeuf,,6,personnes,22726
5,,cl d'eau,,6,personnes,22726
1,pincée,sel,,6,personnes,22726
25,cl,lait,,6,personnes,22726
1,,oeuf,,6,personnes,22726
30,g,farine,,6,personnes,22726
40,g,sucre,,6,personnes,22726
1,sachet,sucre vanillé,,6,personnes,22726
500,g,fraises,(ou plus ;),6,personnes,22726
250,g,farine,,6,personnes,11150
12,g,levure,de boulangerie,6,personnes,11150
10,cl,lait,,6,personnes,11150
50,g,beurre,,6,personnes,11150
1,,oeuf,,6,personnes,11150
15,g,sucre,,6,personnes,11150
30,g,sucre en grain,,6,personnes,11150
20,g,beurre,et 20 g de farine (travail et cuisson),6,personnes,11150
2,pincées,sel,,6,personnes,11150
25,cl,lait,,6,personnes,11150
3,,oeufs,+ 1 jaune,6,personnes,11150
80,g,sucre en poudre,,6,personnes,11150
,,Sucre glace,,6,personnes,11150
15,g,farine,,6,personnes,11150
15,g,maïzena,,6,personnes,11150
1,gousse,vanille,,6,personnes,11150
1,cuillère à soupe d'eau,fleur d'oranger,,6,personnes,11150
50,g,beurre,,6,personnes,11150
50,g,sucre,,6,personnes,11150
1,cuillère à soupe,miel,,6,personnes,11150
250,g,farine,,4,personnes,82416
125,g,sucre,,4,personnes,82416
2,,oeufs,,4,personnes,82416
50,g,beurre,fondu,4,personnes,82416
1,pincée,sel,,4,personnes,82416
20,cl,lait,,4,personnes,82416
,,Bière,ou eau,4,personnes,82416
250,g,mascarpone,,6,personnes,36386
80,g,sucre roux,,6,personnes,36386
